"","name","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V12","One Flew Over the Cuckoo's Nest",-0.178571428571429,-0.103448275862069,0.111111111111111,-0.0625,-0.446153846153846,0.0666666666666667,0.2,-0.0967741935483871,-0.276595744680851,0.155555555555556,-0.130434782608696,-0.142857142857143,0.037037037037037,0.169811320754717,0.117647058823529,0.162790697674419,-0.26027397260274,0.25,-0.419354838709677,-0.307692307692308
"V13","Star Wars: Episode V - The Empire Strikes Back",-0.223880597014925,-0.604166666666667,-0.149425287356322,-0.138888888888889,-0.652173913043478,-0.48314606741573,-0.301587301587302,-0.213114754098361,-0.435294117647059,-0.173913043478261,0.0114942528735632,-0.536842105263158,-0.358974358974359,-0.208333333333333,-0.235955056179775,-0.431578947368421,-0.223880597014925,-0.6,-0.551020408163265,-0.305555555555556
"V14","The Matrix",-0.107142857142857,-0.490909090909091,-0.102040816326531,-0.377049180327869,-0.26530612244898,-0.04,-0.113636363636364,-0.245901639344262,-0.168316831683168,-0.0789473684210526,0.148936170212766,-0.354838709677419,-0.52,-0.5625,-0.5,-0.343283582089552,-0.490196078431373,-0.433333333333333,-0.558441558441558,-0.309090909090909
"V15","The Lord of the Rings: The Two Towers",-0.672727272727273,-0.418181818181818,-0.35593220338983,-0.192982456140351,-0.0684931506849315,-0.488372093023256,-0.130434782608696,-0.358490566037736,-0.363636363636364,-0.21875,-0.380952380952381,-0.0204081632653061,-0.357142857142857,-0.254237288135593,0.222222222222222,0,-0.152542372881356,-0.288888888888889,-0.392857142857143,-0.105882352941176
"V16","It's a Wonderful Life",0.0810810810810811,-0.45945945945946,0.164179104477612,0.361702127659574,-0.1,0.170731707317073,0.380952380952381,0.292682926829268,0.0746268656716418,0.4,0.275,-0.0943396226415094,0.128205128205128,-0.164835164835165,-0.283950617283951,-0.0909090909090909,0.111111111111111,-0.0704225352112676,-0.185185185185185,0.486486486486487
"V17","Star Wars",-0.487603305785124,-0.213675213675214,-0.406779661016949,0.0721649484536082,-0.238095238095238,-0.372881355932203,-0.242718446601942,-0.105882352941176,-0.217391304347826,-0.170731707317073,-0.262135922330097,-0.307692307692308,-0.318681318681319,-0.2,0.087378640776699,-0.475728155339806,-0.426086956521739,0,-0.621621621621622,-0.274725274725275
"V18","The Silence of the Lambs",0.0526315789473684,0.0476190476190476,-0.195121951219512,-0.358024691358025,-0.2,0.072463768115942,-0.0263157894736842,0.113924050632911,-0.170731707317073,-0.0263157894736842,-0.0786516853932584,-0.386666666666667,-0.228571428571429,-0.23943661971831,-0.315068493150685,-0.216494845360825,-0.333333333333333,-0.12,-0.382352941176471,-0.0619469026548673
"V19","Se7en",-0.553398058252427,-0.204081632653061,-0.296296296296296,-0.326315789473684,-0.230769230769231,0.0638297872340425,0.0212765957446809,0.106382978723404,0.037037037037037,-0.270588235294118,-0.354838709677419,-0.216216216216216,-0.35,-0.25,-0.4,-0.032967032967033,-0.0975609756097561,-0.105882352941176,-0.452631578947368,-0.388235294117647
"V20","The Green Mile",-0.368421052631579,-0.380530973451327,-0.256637168141593,-0.188118811881188,-0.482758620689655,-0.134615384615385,-0.204819277108434,-0.314814814814815,0.0091743119266055,-0.235294117647059,-0.226415094339623,-0.195652173913043,-0.575221238938053,-0.277310924369748,-0.38,-0.175257731958763,-0.321100917431193,-0.300970873786408,-0.28,-0.350649350649351
"V21","Saving Private Ryan",-0.0769230769230769,-0.2,-0.269230769230769,-0.0175438596491228,0.12280701754386,-0.125,0.234042553191489,-0.0666666666666667,-0.0606060606060606,-0.0344827586206897,-0.0909090909090909,-0.311475409836066,-0.451612903225806,-0.194444444444444,-0.0769230769230769,-0.137931034482759,-0.254237288135593,-0.0434782608695652,-0.0140845070422535,-0.323529411764706
